a,xx,user_uuid,t,journey_name,event_name,event_type,session_uuid,numactions,numjourneys,numrooms,numfeed,numsupport,numsuccess
388467,02e74f10e0327ad868d138f2b4fdd6f0,0d056cb65729981066d83ad9ea7e7325,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00d056cb65729981066d83ad9ea7e7325,1,1,,,,
2156847,02e74f10e0327ad868d138f2b4fdd6f0,10ceadfa10eb9e86a3a466f800fe7220,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f010ceadfa10eb9e86a3a466f800fe7220,1,1,,,,
1073686,013d407166ec4fa56eb1e1f8cbe183b9,bebad77afe8321e2509511b561fb8c33,0,None,app_home,transition,013d407166ec4fa56eb1e1f8cbe183b9bebad77afe8321e2509511b561fb8c33,2,1,,1,,
1073687,013d407166ec4fa56eb1e1f8cbe183b9,bebad77afe8321e2509511b561fb8c33,1,feed,feed_home,transition,013d407166ec4fa56eb1e1f8cbe183b9bebad77afe8321e2509511b561fb8c33,2,1,,1,,
1473533,02522a2b2726fb0a03bb19f2d8d9524d,74398c40d0828895d4176c751a8d2c45,0,None,app_home,transition,02522a2b2726fb0a03bb19f2d8d9524d74398c40d0828895d4176c751a8d2c45,2,1,,1,,
1473534,02522a2b2726fb0a03bb19f2d8d9524d,74398c40d0828895d4176c751a8d2c45,1,feed,feed_home,transition,02522a2b2726fb0a03bb19f2d8d9524d74398c40d0828895d4176c751a8d2c45,2,1,,1,,
1073678,02522a2b2726fb0a03bb19f2d8d9524d,bebad77afe8321e2509511b561fb8c33,0,None,app_home,transition,02522a2b2726fb0a03bb19f2d8d9524dbebad77afe8321e2509511b561fb8c33,2,1,,1,,
1073679,02522a2b2726fb0a03bb19f2d8d9524d,bebad77afe8321e2509511b561fb8c33,1,feed,feed_home,transition,02522a2b2726fb0a03bb19f2d8d9524dbebad77afe8321e2509511b561fb8c33,2,1,,1,,
118053,02e74f10e0327ad868d138f2b4fdd6f0,007d4a1214289aea09b9759ae1324e96,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f0007d4a1214289aea09b9759ae1324e96,2,1,,1,,
118054,02e74f10e0327ad868d138f2b4fdd6f0,007d4a1214289aea09b9759ae1324e96,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f0007d4a1214289aea09b9759ae1324e96,2,1,,1,,
2021805,02e74f10e0327ad868d138f2b4fdd6f0,00a87cce41371cf384b1dd4628dc5ea7,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f000a87cce41371cf384b1dd4628dc5ea7,2,1,,1,,
2021806,02e74f10e0327ad868d138f2b4fdd6f0,00a87cce41371cf384b1dd4628dc5ea7,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f000a87cce41371cf384b1dd4628dc5ea7,2,1,,1,,
396609,02e74f10e0327ad868d138f2b4fdd6f0,030862565f5882a522a10504b2c90dc9,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f0030862565f5882a522a10504b2c90dc9,2,1,,1,,
396610,02e74f10e0327ad868d138f2b4fdd6f0,030862565f5882a522a10504b2c90dc9,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f0030862565f5882a522a10504b2c90dc9,2,1,,1,,
1825496,02e74f10e0327ad868d138f2b4fdd6f0,04514b9893dd1719269aea025015ebe9,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f004514b9893dd1719269aea025015ebe9,2,1,,1,,
1825497,02e74f10e0327ad868d138f2b4fdd6f0,04514b9893dd1719269aea025015ebe9,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f004514b9893dd1719269aea025015ebe9,2,1,,1,,
2038450,02e74f10e0327ad868d138f2b4fdd6f0,07009be4ca1cdefe255c9e2f76030255,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f007009be4ca1cdefe255c9e2f76030255,2,1,,1,,
2038451,02e74f10e0327ad868d138f2b4fdd6f0,07009be4ca1cdefe255c9e2f76030255,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f007009be4ca1cdefe255c9e2f76030255,2,1,,1,,
148545,02e74f10e0327ad868d138f2b4fdd6f0,09ccf3183d9e90e5ae1f425d5f9b2c00,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f009ccf3183d9e90e5ae1f425d5f9b2c00,2,1,,1,,
148546,02e74f10e0327ad868d138f2b4fdd6f0,09ccf3183d9e90e5ae1f425d5f9b2c00,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f009ccf3183d9e90e5ae1f425d5f9b2c00,2,1,,1,,
2154204,02e74f10e0327ad868d138f2b4fdd6f0,0b352414e83c92b3d5fa2ecdf5895e40,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00b352414e83c92b3d5fa2ecdf5895e40,2,1,1,,,
2154205,02e74f10e0327ad868d138f2b4fdd6f0,0b352414e83c92b3d5fa2ecdf5895e40,1,rooms,rooms_home,transition,02e74f10e0327ad868d138f2b4fdd6f00b352414e83c92b3d5fa2ecdf5895e40,2,1,1,,,
1272932,02e74f10e0327ad868d138f2b4fdd6f0,0b795df26c167321a2a53e1794e9b57c,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00b795df26c167321a2a53e1794e9b57c,2,1,,1,,
1272933,02e74f10e0327ad868d138f2b4fdd6f0,0b795df26c167321a2a53e1794e9b57c,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f00b795df26c167321a2a53e1794e9b57c,2,1,,1,,
2068276,02e74f10e0327ad868d138f2b4fdd6f0,0c60f72407c67943088c077f3300018f,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00c60f72407c67943088c077f3300018f,2,1,,1,,
2068277,02e74f10e0327ad868d138f2b4fdd6f0,0c60f72407c67943088c077f3300018f,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f00c60f72407c67943088c077f3300018f,2,1,,1,,
1089057,02e74f10e0327ad868d138f2b4fdd6f0,0d786ca032d3de26beac81f7848f21bb,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00d786ca032d3de26beac81f7848f21bb,2,1,,1,,
1089058,02e74f10e0327ad868d138f2b4fdd6f0,0d786ca032d3de26beac81f7848f21bb,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f00d786ca032d3de26beac81f7848f21bb,2,1,,1,,
1779649,02e74f10e0327ad868d138f2b4fdd6f0,0dbacdd0fb2f6394763a58a7714e99ab,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00dbacdd0fb2f6394763a58a7714e99ab,2,1,,1,,
1779650,02e74f10e0327ad868d138f2b4fdd6f0,0dbacdd0fb2f6394763a58a7714e99ab,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f00dbacdd0fb2f6394763a58a7714e99ab,2,1,,1,,
277424,02e74f10e0327ad868d138f2b4fdd6f0,0de109fef33cf60a1961608c8befd161,0,None,app_home,transition,02e74f10e0327ad868d138f2b4fdd6f00de109fef33cf60a1961608c8befd161,2,1,,1,,
277425,02e74f10e0327ad868d138f2b4fdd6f0,0de109fef33cf60a1961608c8befd161,1,feed,feed_home,transition,02e74f10e0327ad868d138f2b4fdd6f00de109fef33cf60a1961608c8befd161,2,1,,1,,
